Name;Address;Rating;Location
Sarika Winery;Mirche Acev 128, Prilep 7500, North Macedonia;5.0;41.34033770,21.56240170
Winery Ohrid;4QHV+56P, Бул. Железничка ББ, Ohrid 6000, North Macedonia;5.0;41.12797080,20.79309050
S&S Winery;Ohrid, North Macedonia;5.0;41.13841540,20.77578590
Ciflik Winery;2 br.18 Brusnik, Bitola, North Macedonia;4.5;41.03199370,21.29290920
Pelium Winery;Leshnicë 7306, Albania;4.8;40.85618750,20.70793750
Wine Bar & Winery Mal Sv. Kliment;Metodi Patche 8, Ohrid 6000, North Macedonia;4.8;41.11260650,20.79692220
Alesto Winery;Arvati, North Macedonia;5.0;40.94297550,21.11205440
Pirgan;Народен Херој, MK, Орде Чопела бб, Prilep 7500, North Macedonia;4.0;41.36544400,21.51550860
CACO Winery;RPMG+6RR, SH3, Grabovicë 7300, Albania;4.6;40.83310760,20.72702770
Monastery Winery;MK, Ohrid 6000, North Macedonia;4.9;41.18479510,20.87724880
Manager Tikves Wine Tourism;8 mi septemvri, 1431, North Macedonia;0.0;41.60863500,21.74527500
Kocev Family Wines;Prohor Pcinski, Veles, North Macedonia;5.0;41.70966920,21.78777100
winery ASEP;1ο ΧΛΜ, Aminteo 532 00, Greece;4.6;40.69397700,21.66942100
Winery „Chateau Sopot“;MK, Veles 1400, North Macedonia;4.4;41.77775590,21.74099030
Winery „Stobi“;Avtopat b.b., Gradsko 1400, North Macedonia;4.7;41.58123260,21.93622670
MILEV Winery;Ul. Kamendol - Trstenik S, Trstenik 1422, North Macedonia;0.0;41.47583310,21.92112230
Vinarija Baso;Mara Ugrinova - Gina, Kičevo, North Macedonia;0.0;41.50295710,20.95340830
GD Tikves Winery;Ul. Kamendol - Trstenik S MK, Trstenik 1422, North Macedonia;5.0;41.47583900,21.92111890
Kokkinos Winery;Δαλαμαρι, Naousa 592 00, Greece;4.9;40.61508510,22.06613310
Winery „Kamnik“;Kamnik bb Skopje MK, 1000, North Macedonia;4.8;42.00775140,21.49028080
Winery „Popova kula“;Wine Boulevard No.1, Demir Kapija 1442, North Macedonia;4.5;41.41088500,22.22656500
Royal winery „Queen Maria“;Marshal Tito 63, 1442, North Macedonia;4.6;41.41409870,22.23336600
Zaharchev Winery and Distillery;Kosovska 16, Kavadarci 1430, North Macedonia;5.0;41.43604680,22.00486960
Winery „Eros“;MK, Marshal Tito 59, Marena 1430, North Macedonia;4.4;41.46675850,22.03017640
Winery „Popov“;F2RC+JH6, Sopot, North Macedonia;4.6;41.49153590,22.02138260
Valandovo Winery;Orce Nikolov 6, Valandovo 2460, North Macedonia;4.7;41.31955950,22.56633680
OldSchoolWinery;Lake Mladost Veles MK, 1400, North Macedonia;4.7;41.77361540,21.76712100
Winery „Stobi“;Avtopat b.b., Gradsko 1400, North Macedonia;4.7;41.58123260,21.93622670
Winery „Lazar“;Naseleno mesto bez ulicen sistem MK, Stobi, Palikura 1422, North Macedonia;4.8;41.54645600,21.97247050
Winery „Venec“;s Dolni Disan, Negotino 1443, North Macedonia;4.8;41.43390400,22.09297400
Dalvina Winery;R1302, Hamzali 2431, North Macedonia;4.8;41.48993410,22.74467340
Imako Vino Winery;M5X4+MX, 6th km local road Stip-Radovis MK, Sofilari 2000, North Macedonia;4.5;41.70167940,22.15613550
Winery „Paragon“;G4C8+R4, Krivolak 1440, North Macedonia;4.8;41.52206250,22.11531250
Family Winery „Peškov“;C2G3+7HV, Kavadarci, North Macedonia;4.6;41.42574020,22.00391190
MILEV Winery;Ul. Kamendol - Trstenik S, Trstenik 1422, North Macedonia;0.0;41.47583310,21.92112230
GD Tikves Winery;Ul. Kamendol - Trstenik S MK, Trstenik 1422, North Macedonia;5.0;41.47583900,21.92111890
Winery „Badi“;Pere Toshev 3, Kavadartsi 1430, North Macedonia;5.0;41.43214790,22.00611890
Vinika Winery;Ilindenska 4, Vinica 2310, North Macedonia;0.0;41.88591780,22.50013070
Winery „Grkov“;109, 1437, North Macedonia;4.5;41.31255870,22.12662750
Winery „Kamnik“;Kamnik bb Skopje MK, 1000, North Macedonia;4.8;42.00775140,21.49028080
Winery „Kartal“;ul.1519 br.7 Skopje MK, 1000, North Macedonia;4.9;41.96243400,21.47639960
Winery „Chateau Sopot“;MK, Veles 1400, North Macedonia;4.4;41.77775590,21.74099030
Wine Cellar Tikves AD Skopje;810 no. 2, Skopje 1000, North Macedonia;4.2;42.00155600,21.46788600
Brzanov;ul 1 br. 4 MK, Trubarevo 1047, North Macedonia;4.9;41.98564560,21.51718390
OldSchoolWinery;Lake Mladost Veles MK, 1400, North Macedonia;4.7;41.77361540,21.76712100
Winery „Stobi“;Avtopat b.b., Gradsko 1400, North Macedonia;4.7;41.58123260,21.93622670
Imako Vino Winery;M5X4+MX, 6th km local road Stip-Radovis MK, Sofilari 2000, North Macedonia;4.5;41.70167940,22.15613550
Filovski Winery;23, 11th October St. 1/1, Skopje 1000, North Macedonia;0.0;41.99221460,21.43429220
Skovin AD Skopje Winery;15th Korpus No. 3 Skopje 1000, 1000, North Macedonia;4.9;42.00048460,21.47858260
Bord Life;1106, Skopje 1000, Skopje, North Macedonia;4.9;42.05864180,21.31765650
Winery Kuvin;Makedonska Prerodba бр.70, Skopje 1000, North Macedonia;5.0;42.00948350,21.35124100
Anevski Winery;Q53C+VH7, Shtip, North Macedonia;4.2;41.75465670,22.17143110
Kocev Family Wines;Prohor Pcinski, Veles, North Macedonia;5.0;41.70966920,21.78777100
ZIK Winery;2W3H+G56, K'shanje, North Macedonia;5.0;42.00378760,21.92788540
Winery & Hotel „Kokino“;Kozjacka 15, Kumanovo 1300, North Macedonia;4.8;42.11597210,21.74827670
Vardar Winery & Wines;Vasil Gjorgov, Skopje 1000, North Macedonia;0.0;41.99296270,21.41585120
Vardar Winery & Wines;Dame Gruev, Skopje 1000, North Macedonia;0.0;41.99466060,21.42806480
Винарија Мирон (Miron winery);Palmiro Toljati 88, Skopje 1000, North Macedonia;5.0;42.00226880,21.49815400
Tristo;QQQR+GCP, Otovica Sujaklari, Sojaklari, North Macedonia;5.0;41.78884430,21.79109010
Vinika Winery;Ilindenska 4, Vinica 2310, North Macedonia;0.0;41.88591780,22.50013070
ZIK Winery;2W3H+G56, K'shanje, North Macedonia;5.0;42.00378760,21.92788540
Winery „Kamnik“;Kamnik bb Skopje MK, 1000, North Macedonia;4.8;42.00775140,21.49028080
GALVIN WINERY&VINEYARDS;VGM4+882, Marsal Tito, Vinica, North Macedonia;0.0;41.88327300,22.50577070
Winery DRUM - Винарија ДРУМ;VJW3+3XG, Dragobrashte, North Macedonia;0.0;41.89517690,22.60496610
Vinarija Jordanov;Local Road MK, 2300, North Macedonia;0.0;41.91688650,22.40830520
Winery „Chateau Sopot“;MK, Veles 1400, North Macedonia;4.4;41.77775590,21.74099030
Vinarija Jordanov;Gjorgi Boskov 52 s, Beli, North Macedonia;1.0;41.92850610,22.37997230
Winery „Kartal“;ul.1519 br.7 Skopje MK, 1000, North Macedonia;4.9;41.96243400,21.47639960
OldSchoolWinery;Lake Mladost Veles MK, 1400, North Macedonia;4.7;41.77361540,21.76712100
Logodaj Winery;Logodaj, Logodazh, Bulgaria;4.0;41.99040940,22.94016600
Anevski Winery;Q53C+VH7, Shtip, North Macedonia;4.2;41.75465670,22.17143110
Galvin;VFVR+P9V, Vinica, North Macedonia;0.0;41.89454130,22.49050570
Imako Vino Winery;M5X4+MX, 6th km local road Stip-Radovis MK, Sofilari 2000, North Macedonia;4.5;41.70167940,22.15613550
Winery „Popova kula“;Wine Boulevard No.1, Demir Kapija 1442, North Macedonia;4.5;41.41088500,22.22656500
Оцетара Земсил;35HH+64Q, Kratovo, North Macedonia;0.0;42.07807900,22.17786940
Aleksic Winery;Vranje, Serbia;4.7;42.54818620,21.92612460
Brzanov;ul 1 br. 4 MK, Trubarevo 1047, North Macedonia;4.9;41.98564560,21.51718390
Winery „Stobi“;Avtopat b.b., Gradsko 1400, North Macedonia;4.7;41.58123260,21.93622670
Royal winery „Queen Maria“;Marshal Tito 63, 1442, North Macedonia;4.6;41.41409870,22.23336600
Bord Life;1106, Skopje 1000, Skopje, North Macedonia;4.9;42.05864180,21.31765650
Winery „Kamnik“;Kamnik bb Skopje MK, 1000, North Macedonia;4.8;42.00775140,21.49028080
Winery „Kartal“;ul.1519 br.7 Skopje MK, 1000, North Macedonia;4.9;41.96243400,21.47639960
Stone Castle Vineyards and Winery;Bërnjakë p.n, Rahovec 21000;4.2;42.36903630,20.61911200
Winery Kuvin;Makedonska Prerodba бр.70, Skopje 1000, North Macedonia;5.0;42.00948350,21.35124100
Wine Cellar Tikves AD Skopje;810 no. 2, Skopje 1000, North Macedonia;4.2;42.00155600,21.46788600
Brzanov;ul 1 br. 4 MK, Trubarevo 1047, North Macedonia;4.9;41.98564560,21.51718390
Filovski Winery;23, 11th October St. 1/1, Skopje 1000, North Macedonia;0.0;41.99221460,21.43429220
ILLYRIAN Winery and Vineyards;Rr.UÇK pn, Rahovec 21000;4.9;42.40162500,20.64312400
Vardar Winery & Wines;Vasil Gjorgov, Skopje 1000, North Macedonia;0.0;41.99296270,21.41585120
Skovin AD Skopje Winery;15th Korpus No. 3 Skopje 1000, 1000, North Macedonia;4.9;42.00048460,21.47858260
Winery „Chateau Sopot“;MK, Veles 1400, North Macedonia;4.4;41.77775590,21.74099030
Vardar Winery & Wines;Dame Gruev, Skopje 1000, North Macedonia;0.0;41.99466060,21.42806480
Sarika Winery;Mirche Acev 128, Prilep 7500, North Macedonia;5.0;41.34033770,21.56240170
OldSchoolWinery;Lake Mladost Veles MK, 1400, North Macedonia;4.7;41.77361540,21.76712100
Skovin Winery;11th October St. локал 306, Skopje 1000, North Macedonia;4.8;41.98734700,21.43677200
Winery „Popova kula“;Wine Boulevard No.1, Demir Kapija 1442, North Macedonia;4.5;41.41088500,22.22656500
Sefa Wine - Shop - Vineyards & Winery;Vllezërit Frashëri, Rahovec 21000;5.0;42.39644560,20.64507980
Kokomani Winery;8J2G+78H, Unnamed Rd, Eminas i Vogël, Eminas i Vogël, Albania;4.8;41.30068760,19.62585040
Винарија Мирон (Miron winery);Palmiro Toljati 88, Skopje 1000, North Macedonia;5.0;42.00226880,21.49815400
